,lig,EXP,Pred dG,Pred dG err
0,CAT-13a,-8.84,-8.0,0.11
1,CAT-17g,-9.74,-9.19,0.12
2,CAT-17i,-9.47,-10.46,0.11
3,CAT-13b,-9.12,-8.71,0.13
4,CAT-13c,-9.32,-9.16,0.14
5,CAT-13d,-10.47,-10.67,0.14
6,CAT-13f,-9.09,-9.73,0.13
7,CAT-13h,-9.63,-10.05,0.13
8,CAT-13i,-9.27,-10.25,0.13
9,CAT-17a,-10.73,-11.36,0.12
10,CAT-17d,-9.42,-8.83,0.13
11,CAT-17h,-10.33,-10.75,0.14
12,CAT-13e,-9.96,-10.91,0.13
13,CAT-13g,-9.09,-8.82,0.12
14,CAT-13o,-8.54,-9.8,0.13
15,CAT-17b,-10.02,-10.95,0.16
16,CAT-17e,-10.02,-10.58,0.15
17,CAT-17c,-9.86,-10.34,0.14
18,CAT-17f,-9.42,-10.22,0.12
19,CAT-24,-11.35,-13.36,0.14
20,CAT-13m,-8.76,-9.7,0.11
21,CAT-13j,-8.73,-7.82,0.12
22,CAT-4o,-9.38,-7.86,0.13
23,CAT-13k,-9.7,-8.71,0.12
24,CAT-4b,-9.63,-9.26,0.12
25,CAT-4d,-9.11,-10.33,0.14
26,CAT-13n,-8.54,-7.48,0.11
27,CAT-4i,-8.26,-7.89,0.13
28,CAT-4a,-7.93,-7.98,0.12
29,CAT-4c,-7.85,-8.32,0.14
30,CAT-4j,-9.02,-7.69,0.13
31,CAT-4k,-7.85,-7.55,0.12
32,CAT-4l,-9.34,-7.59,0.13
33,CAT-4m,-9.15,-8.52,0.12
34,CAT-4n,-9.09,-8.31,0.12
35,CAT-4p,-10.08,-8.94,0.13
