,lig,EXP,Pred dG,Pred dG err
0,17124-1,-9.68,-10.81,0.19
1,18631-1,-9.41,-8.44,0.18
2,18634-1,-9.99,-9.87,0.15
3,18626-1,-8.87,-8.88,0.13
4,18624-1,-8.49,-8.0,0.15
5,18625-1,-8.11,-7.48,0.18
6,18627-1,-8.48,-8.88,0.15
7,18628-1,-8.7,-7.74,0.15
8,18630-1,-9.14,-8.66,0.15
9,18632-1,-9.08,-8.64,0.17
10,18658-1,-9.7,-9.66,0.18
11,18659-1,-9.47,-9.69,0.18
12,18660-1,-8.7,-9.12,0.15
13,18633-1,-9.17,-8.97,0.17
14,18629-1,-8.67,-8.65,0.16
15,18652-1,-10.68,-10.55,0.18
16,18637-1,-10.14,-11.04,0.19
17,18635-1,-7.29,-8.01,0.19
18,18636-1,-7.51,-7.32,0.19
19,18638-1,-10.09,-10.65,0.19
20,18639-1,-9.74,-10.04,0.18
