,lig,EXP,Pred dG,Pred dG err
0,27,-6.12,-5.9,0.17
1,46,-7.6,-8.2,0.2
2,28,-6.62,-5.84,0.18
3,35,-8.81,-8.01,0.17
4,47,-5.78,-6.43,0.21
5,29,-6.94,-7.19,0.22
6,40,-7.25,-9.11,0.26
7,30,-7.85,-6.57,0.19
8,48,-6.66,-4.74,0.21
9,31,-7.92,-7.78,0.19
10,32,-6.58,-6.67,0.2
11,34,-6.87,-7.28,0.22
12,33,-6.88,-7.52,0.17
13,36,-8.18,-7.91,0.22
14,37,-8.95,-8.43,0.2
15,39,-7.03,-6.97,0.2
16,53,-9.96,-11.83,0.2
17,60,-8.92,-9.51,0.21
18,38,-7.02,-9.07,0.23
19,41,-7.13,-8.7,0.2
20,43,-7.03,-7.29,0.21
21,49,-8.36,-8.09,0.24
22,67,-7.58,-9.37,0.19
23,50,-9.33,-8.51,0.24
24,52,-9.23,-9.34,0.23
25,56,-9.26,-9.05,0.19
26,58,-9.41,-11.86,0.24
27,61,-8.08,-8.81,0.24
28,63,-9.06,-11.45,0.24
29,65,-8.41,-10.76,0.24
30,26,-8.24,-6.61,0.2
31,44,-8.67,-7.53,0.19
32,57,-9.04,-7.11,0.18
33,64,-9.5,-9.13,0.21
34,23,-8.83,-7.39,0.18
35,45,-8.95,-8.15,0.18
36,42,-8.9,-6.89,0.19
37,51,-8.45,-6.34,0.18
38,54,-9.78,-9.56,0.19
39,62,-7.96,-6.98,0.19
40,66,-8.43,-8.68,0.18
41,68,-7.69,-6.68,0.19
