,lig,EXP,Pred dG,Pred dG err
0,20667-2qbp,-11.42,-10.48,0.26
1,23479,-9.14,-9.27,0.24
2,23482,-10.01,-9.83,0.24
3,23484,-7.75,-7.88,0.28
4,23485,-11.01,-8.8,0.28
5,23486,-12.47,-11.22,0.28
6,20669-2qbr,-8.61,-8.19,0.29
7,23466,-7.85,-7.51,0.24
8,23472,-8.65,-9.05,0.37
9,20670-2qbs,-9.08,-9.21,0.24
10,23330-2qbq,-10.13,-9.95,0.26
11,23477,-8.85,-8.99,0.22
12,23483,-9.87,-10.18,0.24
13,23475,-8.72,-8.47,0.28
14,23467,-7.34,-7.79,0.23
15,23468,-7.75,-7.79,0.29
16,23469,-7.72,-8.46,0.3
17,23470,-7.72,-8.2,0.29
18,23473,-8.39,-9.49,0.3
19,23474,-9.11,-9.13,0.26
20,23476,-9.41,-9.76,0.28
21,23471,-7.75,-7.75,0.29
22,23480,-8.72,-9.91,0.27
