,lig,EXP,Pred dG,Pred dG err
0,p38a-2ee,-12.26,-11.05,0.2
1,p38a-2j,-10.08,-10.15,0.19
2,p38a-3fln,-10.88,-11.1,0.17
3,p38a-2e,-10.7,-10.24,0.2
4,p38a-2gg,-10.66,-9.95,0.2
5,p38a-2g,-10.66,-11.03,0.25
6,p38a-2c,-10.46,-10.19,0.29
7,p38a-2f,-8.48,-9.51,0.26
8,p38a-2h,-9.48,-9.69,0.21
9,p38a-2i,-10.05,-10.37,0.23
10,p38a-2ff,-11.44,-11.31,0.21
11,p38a-2q,-12.26,-11.93,0.21
12,p38a-2r,-10.79,-11.44,0.19
13,p38a-2l,-12.26,-12.23,0.25
14,p38a-2n,-11.85,-11.68,0.23
15,p38a-2o,-10.49,-9.27,0.26
16,p38a-2p,-11.2,-11.05,0.24
17,p38a-2m,-10.96,-12.89,0.23
18,p38a-2k,-10.55,-10.51,0.22
19,p38a-2s,-11.11,-10.72,0.24
20,p38a-2t,-11.85,-11.62,0.23
21,p38a-2u,-12.26,-12.24,0.21
22,p38a-2v,-8.97,-8.67,0.18
23,p38a-3flz,-9.49,-10.05,0.22
24,p38a-2aa,-9.27,-9.76,0.2
25,p38a-2bb,-9.06,-9.17,0.19
26,p38a-3flw,-10.68,-11.01,0.21
27,p38a-2x,-10.23,-9.9,0.19
28,p38a-2y,-9.78,-9.94,0.19
29,p38a-3fly,-11.42,-10.4,0.19
30,p38a-3fmh,-10.83,-10.75,0.2
31,p38a-3fmk,-11.83,-12.7,0.19
32,p38a-2z,-10.36,-9.86,0.21
33,p38a-3flq,-9.93,-10.23,0.21
